# Objects - 42 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
   0  Objects_0                        | 0 80 16 16
   1  Objects_1                        | 50 88 12 8
   2  Objects_2                        | 135 74 19 18
   3  Objects_3                        | 167 74 19 14
   4  Objects_4                        | 199 72 19 17
   5  Objects_5                        | 224 77 16 12
   6  Objects_6                        | 241 78 14 10
   7  Objects_7                        | 328 69 19 27
   8  Objects_8                        | 353 74 14 19
   9  Objects_9                        | 368 72 16 24
  10  Objects_10                       | 14 44 32 52
  11  Objects_11                       | 59 44 35 52
  12  Objects_12                       | 98 46 12 49
  13  Objects_13                       | 114 35 12 49
  14  Objects_14                       | 133 40 21 20
  15  Objects_15                       | 163 38 29 22
  16  Objects_16                       | 197 41 22 17
  17  Objects_17                       | 225 43 28 13
  18  Objects_18                       | 258 56 25 30
  19  Objects_19                       | 290 55 28 36
  20  Objects_20                       | 320 32 29 32
  21  Objects_21                       | 359 40 21 24
  22  Objects_22                       | 66 11 13 18
  23  Objects_23                       | 80 8 32 24
  24  Objects_24                       | 146 11 13 18
  25  Objects_25                       | 160 8 32 24
  26  Objects_26                       | 193 13 14 19
  27  Objects_27                       | 210 13 11 16
  28  Objects_28                       | 228 14 9 12
  29  Objects_29                       | 241 13 14 19
  30  Objects_30                       | 256 35 16 12
  31  Objects_31                       | 258 13 11 16
  32  Objects_32                       | 273 34 15 13
  33  Objects_33                       | 276 14 9 12
  34  Objects_34                       | 292 18 27 30
  35  Objects_35                       | 353 12 30 20
  36  Objects_36                       | 4 3 24 24
  37  Objects_37                       | 39 0 19 27
  38  Objects_38                       | 119 0 19 27
  39  Objects_39                       | 289 4 28 10
  40  Objects_40                       | 325 3 22 29
  41  Objects_41                       | 368 6 13 10
