# Water_coasts_animation - 535 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
   0  Water_coasts_animation_0         | 0 432 16 16
   1  Water_coasts_animation_1         | 16 432 16 16
   2  Water_coasts_animation_2         | 32 432 16 16
   3  Water_coasts_animation_3         | 48 432 16 16
   4  Water_coasts_animation_4         | 64 432 16 16
   5  Water_coasts_animation_5         | 80 432 16 16
   6  Water_coasts_animation_6         | 96 432 16 16
   7  Water_coasts_animation_7         | 112 432 16 16
   8  Water_coasts_animation_8         | 128 432 16 16
   9  Water_coasts_animation_9         | 144 432 16 16
  10  Water_coasts_animation_10        | 160 432 16 16
  11  Water_coasts_animation_11        | 176 432 16 16
  12  Water_coasts_animation_12        | 192 432 16 16
  13  Water_coasts_animation_13        | 208 432 16 16
  14  Water_coasts_animation_14        | 224 432 16 16
  15  Water_coasts_animation_15        | 240 432 16 16
  16  Water_coasts_animation_16        | 256 432 16 16
  17  Water_coasts_animation_17        | 272 432 16 16
  18  Water_coasts_animation_18        | 288 432 16 16
  19  Water_coasts_animation_19        | 304 432 16 16
  20  Water_coasts_animation_20        | 320 432 16 16
  21  Water_coasts_animation_21        | 336 432 16 16
  22  Water_coasts_animation_22        | 0 416 16 16
  23  Water_coasts_animation_23        | 16 416 16 16
  24  Water_coasts_animation_24        | 32 416 16 16
  25  Water_coasts_animation_25        | 48 416 16 16
  26  Water_coasts_animation_26        | 64 416 16 16
  27  Water_coasts_animation_27        | 80 416 16 16
  28  Water_coasts_animation_28        | 96 416 16 16
  29  Water_coasts_animation_29        | 112 416 16 16
  30  Water_coasts_animation_30        | 128 416 16 16
  31  Water_coasts_animation_31        | 144 416 16 16
  32  Water_coasts_animation_32        | 160 416 16 16
  33  Water_coasts_animation_33        | 176 416 16 16
  34  Water_coasts_animation_34        | 192 416 16 16
  35  Water_coasts_animation_35        | 208 416 16 16
  36  Water_coasts_animation_36        | 224 416 16 16
  37  Water_coasts_animation_37        | 240 416 16 16
  38  Water_coasts_animation_38        | 256 416 16 16
  39  Water_coasts_animation_39        | 272 416 16 16
  40  Water_coasts_animation_40        | 288 416 16 16
  41  Water_coasts_animation_41        | 304 416 16 16
  42  Water_coasts_animation_42        | 320 416 16 16
  43  Water_coasts_animation_43        | 336 416 16 16
  44  Water_coasts_animation_44        | 0 400 16 16
  45  Water_coasts_animation_45        | 16 400 16 16
  46  Water_coasts_animation_46        | 32 400 16 16
  47  Water_coasts_animation_47        | 48 400 16 16
  48  Water_coasts_animation_48        | 64 400 16 16
  49  Water_coasts_animation_49        | 80 400 16 16
  50  Water_coasts_animation_50        | 96 400 16 16
  51  Water_coasts_animation_51        | 128 400 16 16
  52  Water_coasts_animation_52        | 176 400 16 16
  53  Water_coasts_animation_53        | 192 400 16 16
  54  Water_coasts_animation_54        | 208 400 16 16
  55  Water_coasts_animation_55        | 224 400 16 16
  56  Water_coasts_animation_56        | 240 400 16 16
  57  Water_coasts_animation_57        | 256 400 16 16
  58  Water_coasts_animation_58        | 272 400 16 16
  59  Water_coasts_animation_59        | 304 400 16 16
  60  Water_coasts_animation_60        | 0 384 16 16
  61  Water_coasts_animation_61        | 16 384 16 16
  62  Water_coasts_animation_62        | 32 384 16 16
  63  Water_coasts_animation_63        | 48 384 16 16
  64  Water_coasts_animation_64        | 80 384 16 16
  65  Water_coasts_animation_65        | 96 384 16 16
  66  Water_coasts_animation_66        | 128 384 16 16
  67  Water_coasts_animation_67        | 144 384 16 16
  68  Water_coasts_animation_68        | 160 384 16 16
  69  Water_coasts_animation_69        | 176 384 16 16
  70  Water_coasts_animation_70        | 192 384 16 16
  71  Water_coasts_animation_71        | 208 384 16 16
  72  Water_coasts_animation_72        | 224 384 16 16
  73  Water_coasts_animation_73        | 256 384 16 16
  74  Water_coasts_animation_74        | 272 384 16 16
  75  Water_coasts_animation_75        | 304 384 16 16
  76  Water_coasts_animation_76        | 320 384 16 16
  77  Water_coasts_animation_77        | 336 384 16 16
  78  Water_coasts_animation_78        | 0 368 16 16
  79  Water_coasts_animation_79        | 16 368 16 16
  80  Water_coasts_animation_80        | 32 368 16 16
  81  Water_coasts_animation_81        | 48 368 16 16
  82  Water_coasts_animation_82        | 64 368 16 16
  83  Water_coasts_animation_83        | 80 368 16 16
  84  Water_coasts_animation_84        | 96 368 16 16
  85  Water_coasts_animation_85        | 112 368 16 16
  86  Water_coasts_animation_86        | 128 368 16 16
  87  Water_coasts_animation_87        | 144 368 16 16
  88  Water_coasts_animation_88        | 160 368 16 16
  89  Water_coasts_animation_89        | 176 368 16 16
  90  Water_coasts_animation_90        | 192 368 16 16
  91  Water_coasts_animation_91        | 208 368 16 16
  92  Water_coasts_animation_92        | 224 368 16 16
  93  Water_coasts_animation_93        | 240 368 16 16
  94  Water_coasts_animation_94        | 256 368 16 16
  95  Water_coasts_animation_95        | 272 368 16 16
  96  Water_coasts_animation_96        | 288 368 16 16
  97  Water_coasts_animation_97        | 304 368 16 16
  98  Water_coasts_animation_98        | 320 368 16 16
  99  Water_coasts_animation_99        | 336 368 16 16
 100  Water_coasts_animation_100       | 0 352 16 16
 101  Water_coasts_animation_101       | 16 352 16 16
 102  Water_coasts_animation_102       | 32 352 16 16
 103  Water_coasts_animation_103       | 48 352 16 16
 104  Water_coasts_animation_104       | 64 352 16 16
 105  Water_coasts_animation_105       | 80 352 16 16
 106  Water_coasts_animation_106       | 96 352 16 16
 107  Water_coasts_animation_107       | 128 352 16 16
 108  Water_coasts_animation_108       | 176 352 16 16
 109  Water_coasts_animation_109       | 192 352 16 16
 110  Water_coasts_animation_110       | 208 352 16 16
 111  Water_coasts_animation_111       | 224 352 16 16
 112  Water_coasts_animation_112       | 240 352 16 16
 113  Water_coasts_animation_113       | 256 352 16 16
 114  Water_coasts_animation_114       | 272 352 16 16
 115  Water_coasts_animation_115       | 304 352 16 16
 116  Water_coasts_animation_116       | 0 336 16 16
 117  Water_coasts_animation_117       | 16 336 16 16
 118  Water_coasts_animation_118       | 32 336 16 16
 119  Water_coasts_animation_119       | 48 336 16 16
 120  Water_coasts_animation_120       | 80 336 16 16
 121  Water_coasts_animation_121       | 96 336 16 16
 122  Water_coasts_animation_122       | 128 336 16 16
 123  Water_coasts_animation_123       | 144 336 16 16
 124  Water_coasts_animation_124       | 160 336 16 16
 125  Water_coasts_animation_125       | 176 336 16 16
 126  Water_coasts_animation_126       | 192 336 16 16
 127  Water_coasts_animation_127       | 208 336 16 16
 128  Water_coasts_animation_128       | 224 336 16 16
 129  Water_coasts_animation_129       | 256 336 16 16
 130  Water_coasts_animation_130       | 272 336 16 16
 131  Water_coasts_animation_131       | 304 336 16 16
 132  Water_coasts_animation_132       | 320 336 16 16
