# decorative_cracks_coasts_animation - 336 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
   0  decorative_cracks_coasts_animation_0 | 0 320 16 16
   1  decorative_cracks_coasts_animation_1 | 16 320 16 16
   2  decorative_cracks_coasts_animation_2 | 32 320 16 16
   3  decorative_cracks_coasts_animation_3 | 48 320 16 16
   4  decorative_cracks_coasts_animation_4 | 64 320 16 16
   5  decorative_cracks_coasts_animation_5 | 80 320 16 16
   6  decorative_cracks_coasts_animation_6 | 96 320 16 16
   7  decorative_cracks_coasts_animation_7 | 112 320 16 16
   8  decorative_cracks_coasts_animation_8 | 128 320 16 16
   9  decorative_cracks_coasts_animation_9 | 144 320 16 16
  10  decorative_cracks_coasts_animation_10 | 160 320 16 16
  11  decorative_cracks_coasts_animation_11 | 176 320 16 16
  12  decorative_cracks_coasts_animation_12 | 192 320 16 16
  13  decorative_cracks_coasts_animation_13 | 208 320 16 16
  14  decorative_cracks_coasts_animation_14 | 224 320 16 16
  15  decorative_cracks_coasts_animation_15 | 240 320 16 16
  16  decorative_cracks_coasts_animation_16 | 0 304 16 16
  17  decorative_cracks_coasts_animation_17 | 16 304 16 16
  18  decorative_cracks_coasts_animation_18 | 32 304 16 16
  19  decorative_cracks_coasts_animation_19 | 48 304 16 16
  20  decorative_cracks_coasts_animation_20 | 64 304 16 16
  21  decorative_cracks_coasts_animation_21 | 80 304 16 16
  22  decorative_cracks_coasts_animation_22 | 96 304 16 16
  23  decorative_cracks_coasts_animation_23 | 112 304 16 16
  24  decorative_cracks_coasts_animation_24 | 128 304 16 16
  25  decorative_cracks_coasts_animation_25 | 144 304 16 16
  26  decorative_cracks_coasts_animation_26 | 160 304 16 16
  27  decorative_cracks_coasts_animation_27 | 176 304 16 16
  28  decorative_cracks_coasts_animation_28 | 192 304 16 16
  29  decorative_cracks_coasts_animation_29 | 208 304 16 16
  30  decorative_cracks_coasts_animation_30 | 224 304 16 16
  31  decorative_cracks_coasts_animation_31 | 240 304 16 16
  32  decorative_cracks_coasts_animation_32 | 0 288 16 16
  33  decorative_cracks_coasts_animation_33 | 16 288 16 16
  34  decorative_cracks_coasts_animation_34 | 32 288 16 16
  35  decorative_cracks_coasts_animation_35 | 48 288 16 16
  36  decorative_cracks_coasts_animation_36 | 64 288 16 16
  37  decorative_cracks_coasts_animation_37 | 80 288 16 16
  38  decorative_cracks_coasts_animation_38 | 96 288 16 16
  39  decorative_cracks_coasts_animation_39 | 112 288 16 16
  40  decorative_cracks_coasts_animation_40 | 128 288 16 16
  41  decorative_cracks_coasts_animation_41 | 144 288 16 16
  42  decorative_cracks_coasts_animation_42 | 160 288 16 16
  43  decorative_cracks_coasts_animation_43 | 176 288 16 16
  44  decorative_cracks_coasts_animation_44 | 192 288 16 16
  45  decorative_cracks_coasts_animation_45 | 208 288 16 16
  46  decorative_cracks_coasts_animation_46 | 224 288 16 16
  47  decorative_cracks_coasts_animation_47 | 240 288 16 16
  48  decorative_cracks_coasts_animation_48 | 0 272 16 16
  49  decorative_cracks_coasts_animation_49 | 16 272 16 16
  50  decorative_cracks_coasts_animation_50 | 32 272 16 16
  51  decorative_cracks_coasts_animation_51 | 48 272 16 16
  52  decorative_cracks_coasts_animation_52 | 64 272 16 16
  53  decorative_cracks_coasts_animation_53 | 80 272 16 16
  54  decorative_cracks_coasts_animation_54 | 96 272 16 16
  55  decorative_cracks_coasts_animation_55 | 112 272 16 16
  56  decorative_cracks_coasts_animation_56 | 128 272 16 16
  57  decorative_cracks_coasts_animation_57 | 144 272 16 16
  58  decorative_cracks_coasts_animation_58 | 160 272 16 16
  59  decorative_cracks_coasts_animation_59 | 176 272 16 16
  60  decorative_cracks_coasts_animation_60 | 192 272 16 16
  61  decorative_cracks_coasts_animation_61 | 208 272 16 16
  62  decorative_cracks_coasts_animation_62 | 224 272 16 16
  63  decorative_cracks_coasts_animation_63 | 240 272 16 16
  64  decorative_cracks_coasts_animation_64 | 0 256 16 16
  65  decorative_cracks_coasts_animation_65 | 16 256 16 16
  66  decorative_cracks_coasts_animation_66 | 32 256 16 16
  67  decorative_cracks_coasts_animation_67 | 48 256 16 16
  68  decorative_cracks_coasts_animation_68 | 64 256 16 16
  69  decorative_cracks_coasts_animation_69 | 80 256 16 16
  70  decorative_cracks_coasts_animation_70 | 96 256 16 16
  71  decorative_cracks_coasts_animation_71 | 112 256 16 16
  72  decorative_cracks_coasts_animation_72 | 128 256 16 16
  73  decorative_cracks_coasts_animation_73 | 144 256 16 16
  74  decorative_cracks_coasts_animation_74 | 160 256 16 16
  75  decorative_cracks_coasts_animation_75 | 176 256 16 16
  76  decorative_cracks_coasts_animation_76 | 192 256 16 16
  77  decorative_cracks_coasts_animation_77 | 208 256 16 16
  78  decorative_cracks_coasts_animation_78 | 224 256 16 16
  79  decorative_cracks_coasts_animation_79 | 240 256 16 16
  80  decorative_cracks_coasts_animation_80 | 0 240 16 16
  81  decorative_cracks_coasts_animation_81 | 16 240 16 16
  82  decorative_cracks_coasts_animation_82 | 32 240 16 16
  83  decorative_cracks_coasts_animation_83 | 48 240 16 16
  84  decorative_cracks_coasts_animation_84 | 64 240 16 16
  85  decorative_cracks_coasts_animation_85 | 80 240 16 16
  86  decorative_cracks_coasts_animation_86 | 96 240 16 16
  87  decorative_cracks_coasts_animation_87 | 112 240 16 16
  88  decorative_cracks_coasts_animation_88 | 128 240 16 16
  89  decorative_cracks_coasts_animation_89 | 144 240 16 16
  90  decorative_cracks_coasts_animation_90 | 160 240 16 16
  91  decorative_cracks_coasts_animation_91 | 176 240 16 16
  92  decorative_cracks_coasts_animation_92 | 192 240 16 16
  93  decorative_cracks_coasts_animation_93 | 208 240 16 16
  94  decorative_cracks_coasts_animation_94 | 224 240 16 16
  95  decorative_cracks_coasts_animation_95 | 240 240 16 16
  96  decorative_cracks_coasts_animation_96 | 0 224 16 16
  97  decorative_cracks_coasts_animation_97 | 16 224 16 16
  98  decorative_cracks_coasts_animation_98 | 32 224 16 16
  99  decorative_cracks_coasts_animation_99 | 48 224 16 16
 100  decorative_cracks_coasts_animation_100 | 64 224 16 16
 101  decorative_cracks_coasts_animation_101 | 80 224 16 16
 102  decorative_cracks_coasts_animation_102 | 96 224 16 16
 103  decorative_cracks_coasts_animation_103 | 112 224 16 16
 104  decorative_cracks_coasts_animation_104 | 128 224 16 16
 105  decorative_cracks_coasts_animation_105 | 144 224 16 16
 106  decorative_cracks_coasts_animation_106 | 160 224 16 16
 107  decorative_cracks_coasts_animation_107 | 176 224 16 16
 108  decorative_cracks_coasts_animation_108 | 192 224 16 16
 109  decorative_cracks_coasts_animation_109 | 208 224 16 16
 110  decorative_cracks_coasts_animation_110 | 224 224 16 16
 111  decorative_cracks_coasts_animation_111 | 240 224 16 16
 112  decorative_cracks_coasts_animation_112 | 0 208 16 16
 113  decorative_cracks_coasts_animation_113 | 16 208 16 16
 114  decorative_cracks_coasts_animation_114 | 32 208 16 16
 115  decorative_cracks_coasts_animation_115 | 48 208 16 16
 116  decorative_cracks_coasts_animation_116 | 64 208 16 16
 117  decorative_cracks_coasts_animation_117 | 80 208 16 16
 118  decorative_cracks_coasts_animation_118 | 96 208 16 16
 119  decorative_cracks_coasts_animation_119 | 112 208 16 16
 120  decorative_cracks_coasts_animation_120 | 128 208 16 16
 121  decorative_cracks_coasts_animation_121 | 144 208 16 16
 122  decorative_cracks_coasts_animation_122 | 160 208 16 16
 123  decorative_cracks_coasts_animation_123 | 176 208 16 16
 124  decorative_cracks_coasts_animation_124 | 192 208 16 16
 125  decorative_cracks_coasts_animation_125 | 208 208 16 16
 126  decorative_cracks_coasts_animation_126 | 224 208 16 16
 127  decorative_cracks_coasts_animation_127 | 240 208 16 16
 128  decorative_cracks_coasts_animation_128 | 0 192 16 16
