# decorative_cracks_floor - 120 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
   0  decorative_cracks_floor_0        | 0 224 16 16
   1  decorative_cracks_floor_1        | 16 224 16 16
   2  decorative_cracks_floor_2        | 32 224 16 16
   3  decorative_cracks_floor_3        | 48 224 16 16
   4  decorative_cracks_floor_4        | 64 224 16 16
   5  decorative_cracks_floor_5        | 80 224 16 16
   6  decorative_cracks_floor_6        | 96 224 16 16
   7  decorative_cracks_floor_7        | 112 224 16 16
   8  decorative_cracks_floor_8        | 0 208 16 16
   9  decorative_cracks_floor_9        | 16 208 16 16
  10  decorative_cracks_floor_10       | 32 208 16 16
  11  decorative_cracks_floor_11       | 48 208 16 16
  12  decorative_cracks_floor_12       | 64 208 16 16
  13  decorative_cracks_floor_13       | 80 208 16 16
  14  decorative_cracks_floor_14       | 96 208 16 16
  15  decorative_cracks_floor_15       | 112 208 16 16
  16  decorative_cracks_floor_16       | 0 192 16 16
  17  decorative_cracks_floor_17       | 16 192 16 16
  18  decorative_cracks_floor_18       | 32 192 16 16
  19  decorative_cracks_floor_19       | 48 192 16 16
  20  decorative_cracks_floor_20       | 64 192 16 16
  21  decorative_cracks_floor_21       | 80 192 16 16
  22  decorative_cracks_floor_22       | 96 192 16 16
  23  decorative_cracks_floor_23       | 112 192 16 16
  24  decorative_cracks_floor_24       | 0 176 16 16
  25  decorative_cracks_floor_25       | 16 176 16 16
  26  decorative_cracks_floor_26       | 32 176 16 16
  27  decorative_cracks_floor_27       | 48 176 16 16
  28  decorative_cracks_floor_28       | 64 176 16 16
  29  decorative_cracks_floor_29       | 80 176 16 16
  30  decorative_cracks_floor_30       | 96 176 16 16
  31  decorative_cracks_floor_31       | 112 176 16 16
  32  decorative_cracks_floor_32       | 0 160 16 16
  33  decorative_cracks_floor_33       | 16 160 16 16
  34  decorative_cracks_floor_34       | 32 160 16 16
  35  decorative_cracks_floor_35       | 48 160 16 16
  36  decorative_cracks_floor_36       | 64 160 16 16
  37  decorative_cracks_floor_37       | 80 160 16 16
  38  decorative_cracks_floor_38       | 96 160 16 16
  39  decorative_cracks_floor_39       | 112 160 16 16
  40  decorative_cracks_floor_40       | 0 144 16 16
  41  decorative_cracks_floor_41       | 16 144 16 16
  42  decorative_cracks_floor_42       | 32 144 16 16
  43  decorative_cracks_floor_43       | 48 144 16 16
  44  decorative_cracks_floor_44       | 64 144 16 16
  45  decorative_cracks_floor_45       | 80 144 16 16
  46  decorative_cracks_floor_46       | 96 144 16 16
  47  decorative_cracks_floor_47       | 112 144 16 16
  48  decorative_cracks_floor_48       | 0 128 16 16
  49  decorative_cracks_floor_49       | 16 128 16 16
  50  decorative_cracks_floor_50       | 32 128 16 16
  51  decorative_cracks_floor_51       | 48 128 16 16
  52  decorative_cracks_floor_52       | 64 128 16 16
  53  decorative_cracks_floor_53       | 80 128 16 16
  54  decorative_cracks_floor_54       | 96 128 16 16
  55  decorative_cracks_floor_55       | 112 128 16 16
  56  decorative_cracks_floor_56       | 0 112 16 16
  57  decorative_cracks_floor_57       | 16 112 16 16
  58  decorative_cracks_floor_58       | 32 112 16 16
  59  decorative_cracks_floor_59       | 48 112 16 16
  60  decorative_cracks_floor_60       | 64 112 16 16
  61  decorative_cracks_floor_61       | 80 112 16 16
  62  decorative_cracks_floor_62       | 96 112 16 16
  63  decorative_cracks_floor_63       | 112 112 16 16
  64  decorative_cracks_floor_64       | 0 96 16 16
  65  decorative_cracks_floor_65       | 16 96 16 16
  66  decorative_cracks_floor_66       | 32 96 16 16
  67  decorative_cracks_floor_67       | 48 96 16 16
  68  decorative_cracks_floor_68       | 64 96 16 16
  69  decorative_cracks_floor_69       | 80 96 16 16
  70  decorative_cracks_floor_70       | 96 96 16 16
  71  decorative_cracks_floor_71       | 112 96 16 16
  72  decorative_cracks_floor_72       | 0 80 16 16
  73  decorative_cracks_floor_73       | 16 80 16 16
  74  decorative_cracks_floor_74       | 32 80 16 16
  75  decorative_cracks_floor_75       | 48 80 16 16
  76  decorative_cracks_floor_76       | 64 80 16 16
  77  decorative_cracks_floor_77       | 80 80 16 16
  78  decorative_cracks_floor_78       | 96 80 16 16
  79  decorative_cracks_floor_79       | 112 80 16 16
  80  decorative_cracks_floor_80       | 0 64 16 16
  81  decorative_cracks_floor_81       | 16 64 16 16
  82  decorative_cracks_floor_82       | 32 64 16 16
  83  decorative_cracks_floor_83       | 48 64 16 16
  84  decorative_cracks_floor_84       | 64 64 16 16
  85  decorative_cracks_floor_85       | 80 64 16 16
  86  decorative_cracks_floor_86       | 96 64 16 16
  87  decorative_cracks_floor_87       | 112 64 16 16
  88  decorative_cracks_floor_88       | 0 48 16 16
  89  decorative_cracks_floor_89       | 16 48 16 16
  90  decorative_cracks_floor_90       | 32 48 16 16
  91  decorative_cracks_floor_91       | 48 48 16 16
  92  decorative_cracks_floor_92       | 64 48 16 16
  93  decorative_cracks_floor_93       | 80 48 16 16
