# fire_animation - 194 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
   0  fire_animation_0                 | 0 272 16 16
   1  fire_animation_1                 | 16 272 16 16
   2  fire_animation_2                 | 32 272 16 16
   3  fire_animation_3                 | 48 272 16 16
   4  fire_animation_4                 | 64 272 16 16
   5  fire_animation_5                 | 80 272 16 16
   6  fire_animation_6                 | 96 272 16 16
   7  fire_animation_7                 | 112 272 16 16
   8  fire_animation_8                 | 128 272 16 16
   9  fire_animation_9                 | 144 272 16 16
  10  fire_animation_10                | 160 272 16 16
  11  fire_animation_11                | 0 256 16 16
  12  fire_animation_12                | 16 256 16 16
  13  fire_animation_13                | 32 256 16 16
  14  fire_animation_14                | 48 256 16 16
  15  fire_animation_15                | 64 256 16 16
  16  fire_animation_16                | 80 256 16 16
  17  fire_animation_17                | 96 256 16 16
  18  fire_animation_18                | 112 256 16 16
  19  fire_animation_19                | 128 256 16 16
  20  fire_animation_20                | 144 256 16 16
  21  fire_animation_21                | 160 256 16 16
  22  fire_animation_22                | 0 240 16 16
  23  fire_animation_23                | 16 240 16 16
  24  fire_animation_24                | 32 240 16 16
  25  fire_animation_25                | 48 240 16 16
  26  fire_animation_26                | 64 240 16 16
  27  fire_animation_27                | 80 240 16 16
  28  fire_animation_28                | 96 240 16 16
  29  fire_animation_29                | 112 240 16 16
  30  fire_animation_30                | 128 240 16 16
  31  fire_animation_31                | 144 240 16 16
  32  fire_animation_32                | 160 240 16 16
  33  fire_animation_33                | 0 224 16 16
  34  fire_animation_34                | 16 224 16 16
  35  fire_animation_35                | 32 224 16 16
  36  fire_animation_36                | 48 224 16 16
  37  fire_animation_37                | 64 224 16 16
  38  fire_animation_38                | 80 224 16 16
  39  fire_animation_39                | 96 224 16 16
  40  fire_animation_40                | 112 224 16 16
  41  fire_animation_41                | 128 224 16 16
  42  fire_animation_42                | 144 224 16 16
  43  fire_animation_43                | 160 224 16 16
  44  fire_animation_44                | 0 208 16 16
  45  fire_animation_45                | 16 208 16 16
  46  fire_animation_46                | 32 208 16 16
  47  fire_animation_47                | 48 208 16 16
  48  fire_animation_48                | 64 208 16 16
  49  fire_animation_49                | 80 208 16 16
  50  fire_animation_50                | 96 208 16 16
  51  fire_animation_51                | 112 208 16 16
  52  fire_animation_52                | 128 208 16 16
  53  fire_animation_53                | 144 208 16 16
  54  fire_animation_54                | 160 208 16 16
  55  fire_animation_55                | 0 192 16 16
  56  fire_animation_56                | 16 192 16 16
  57  fire_animation_57                | 32 192 16 16
  58  fire_animation_58                | 48 192 16 16
  59  fire_animation_59                | 80 192 16 16
  60  fire_animation_60                | 96 192 16 16
  61  fire_animation_61                | 112 192 16 16
  62  fire_animation_62                | 128 192 16 16
  63  fire_animation_63                | 144 192 16 16
  64  fire_animation_64                | 160 192 16 16
  65  fire_animation_65                | 0 176 16 16
  66  fire_animation_66                | 16 176 16 16
  67  fire_animation_67                | 32 176 16 16
  68  fire_animation_68                | 48 176 16 16
  69  fire_animation_69                | 64 176 16 16
  70  fire_animation_70                | 80 176 16 16
  71  fire_animation_71                | 96 176 16 16
  72  fire_animation_72                | 112 176 16 16
  73  fire_animation_73                | 128 176 16 16
  74  fire_animation_74                | 144 176 16 16
  75  fire_animation_75                | 160 176 16 16
  76  fire_animation_76                | 0 160 16 16
  77  fire_animation_77                | 16 160 16 16
  78  fire_animation_78                | 32 160 16 16
  79  fire_animation_79                | 48 160 16 16
  80  fire_animation_80                | 64 160 16 16
  81  fire_animation_81                | 80 160 16 16
  82  fire_animation_82                | 96 160 16 16
  83  fire_animation_83                | 112 160 16 16
  84  fire_animation_84                | 128 160 16 16
  85  fire_animation_85                | 144 160 16 16
  86  fire_animation_86                | 160 160 16 16
  87  fire_animation_87                | 0 144 16 16
  88  fire_animation_88                | 16 144 16 16
  89  fire_animation_89                | 32 144 16 16
  90  fire_animation_90                | 48 144 16 16
  91  fire_animation_91                | 80 144 16 16
  92  fire_animation_92                | 96 144 16 16
  93  fire_animation_93                | 112 144 16 16
  94  fire_animation_94                | 128 144 16 16
  95  fire_animation_95                | 144 144 16 16
  96  fire_animation_96                | 160 144 16 16
  97  fire_animation_97                | 0 128 16 16
  98  fire_animation_98                | 16 128 16 16
  99  fire_animation_99                | 32 128 16 16
 100  fire_animation_100               | 48 128 16 16
 101  fire_animation_101               | 64 128 16 16
 102  fire_animation_102               | 80 128 16 16
 103  fire_animation_103               | 96 128 16 16
 104  fire_animation_104               | 112 128 16 16
 105  fire_animation_105               | 128 128 16 16
 106  fire_animation_106               | 144 128 16 16
 107  fire_animation_107               | 160 128 16 16
 108  fire_animation_108               | 0 112 16 16
 109  fire_animation_109               | 16 112 16 16
 110  fire_animation_110               | 32 112 16 16
 111  fire_animation_111               | 48 112 16 16
 112  fire_animation_112               | 64 112 16 16
 113  fire_animation_113               | 80 112 16 16
 114  fire_animation_114               | 96 112 16 16
 115  fire_animation_115               | 112 112 16 16
 116  fire_animation_116               | 128 112 16 16
 117  fire_animation_117               | 144 112 16 16
 118  fire_animation_118               | 160 112 16 16
 119  fire_animation_119               | 0 96 16 16
 120  fire_animation_120               | 16 96 16 16
 121  fire_animation_121               | 32 96 16 16
 122  fire_animation_122               | 48 96 16 16
 123  fire_animation_123               | 64 96 16 16
 124  fire_animation_124               | 80 96 16 16
 125  fire_animation_125               | 96 96 16 16
 126  fire_animation_126               | 112 96 16 16
 127  fire_animation_127               | 128 96 16 16
 128  fire_animation_128               | 144 96 16 16
 129  fire_animation_129               | 160 96 16 16
 130  fire_animation_130               | 0 80 16 16
 131  fire_animation_131               | 16 80 16 16
 132  fire_animation_132               | 32 80 16 16
 133  fire_animation_133               | 48 80 16 16
 134  fire_animation_134               | 64 80 16 16
 135  fire_animation_135               | 80 80 16 16
 136  fire_animation_136               | 96 80 16 16
 137  fire_animation_137               | 112 80 16 16
 138  fire_animation_138               | 128 80 16 16
 139  fire_animation_139               | 144 80 16 16
 140  fire_animation_140               | 160 80 16 16
 141  fire_animation_141               | 0 64 16 16
 142  fire_animation_142               | 16 64 16 16
 143  fire_animation_143               | 32 64 16 16
 144  fire_animation_144               | 48 64 16 16
 145  fire_animation_145               | 64 64 16 16
 146  fire_animation_146               | 80 64 16 16
 147  fire_animation_147               | 96 64 16 16
 148  fire_animation_148               | 112 64 16 16
 149  fire_animation_149               | 128 64 16 16
 150  fire_animation_150               | 144 64 16 16
 151  fire_animation_151               | 160 64 16 16
 152  fire_animation_152               | 0 48 16 16
 153  fire_animation_153               | 16 48 16 16
 154  fire_animation_154               | 32 48 16 16
 155  fire_animation_155               | 48 48 16 16
 156  fire_animation_156               | 80 48 16 16
 157  fire_animation_157               | 96 48 16 16
 158  fire_animation_158               | 112 48 16 16
