# fire_animation2 - 62 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
   0  fire_animation2_0                | 0 176 16 16
   1  fire_animation2_1                | 16 176 16 16
   2  fire_animation2_2                | 32 176 16 16
   3  fire_animation2_3                | 48 176 16 16
   4  fire_animation2_4                | 64 176 16 16
   5  fire_animation2_5                | 80 176 16 16
   6  fire_animation2_6                | 0 160 16 16
   7  fire_animation2_7                | 16 160 16 16
   8  fire_animation2_8                | 32 160 16 16
   9  fire_animation2_9                | 48 160 16 16
  10  fire_animation2_10               | 64 160 16 16
  11  fire_animation2_11               | 80 160 16 16
  12  fire_animation2_12               | 0 144 16 16
  13  fire_animation2_13               | 16 144 16 16
  14  fire_animation2_14               | 32 144 16 16
  15  fire_animation2_15               | 48 144 16 16
  16  fire_animation2_16               | 64 144 16 16
  17  fire_animation2_17               | 80 144 16 16
  18  fire_animation2_18               | 0 128 16 16
  19  fire_animation2_19               | 16 128 16 16
  20  fire_animation2_20               | 32 128 16 16
  21  fire_animation2_21               | 48 128 16 16
  22  fire_animation2_22               | 0 112 16 16
  23  fire_animation2_23               | 16 112 16 16
  24  fire_animation2_24               | 32 112 16 16
  25  fire_animation2_25               | 48 112 16 16
  26  fire_animation2_26               | 64 112 16 16
  27  fire_animation2_27               | 80 112 16 16
  28  fire_animation2_28               | 0 96 16 16
  29  fire_animation2_29               | 16 96 16 16
  30  fire_animation2_30               | 32 96 16 16
  31  fire_animation2_31               | 48 96 16 16
  32  fire_animation2_32               | 64 96 16 16
  33  fire_animation2_33               | 80 96 16 16
  34  fire_animation2_34               | 0 80 16 16
  35  fire_animation2_35               | 16 80 16 16
  36  fire_animation2_36               | 32 80 16 16
  37  fire_animation2_37               | 48 80 16 16
  38  fire_animation2_38               | 64 80 16 16
  39  fire_animation2_39               | 80 80 16 16
  40  fire_animation2_40               | 0 64 16 16
  41  fire_animation2_41               | 16 64 16 16
  42  fire_animation2_42               | 0 48 16 16
  43  fire_animation2_43               | 16 48 16 16
  44  fire_animation2_44               | 32 48 16 16
  45  fire_animation2_45               | 48 48 16 16
  46  fire_animation2_46               | 64 48 16 16
  47  fire_animation2_47               | 80 48 16 16
  48  fire_animation2_48               | 0 32 16 16
  49  fire_animation2_49               | 16 32 16 16
  50  fire_animation2_50               | 32 32 16 16
  51  fire_animation2_51               | 48 32 16 16
  52  fire_animation2_52               | 64 32 16 16
  53  fire_animation2_53               | 80 32 16 16
  54  fire_animation2_54               | 0 16 16 16
  55  fire_animation2_55               | 16 16 16 16
  56  fire_animation2_56               | 32 16 16 16
  57  fire_animation2_57               | 48 16 16 16
  58  fire_animation2_58               | 64 16 16 16
  59  fire_animation2_59               | 80 16 16 16
  60  fire_animation2_60               | 64 0 16 16
  61  fire_animation2_61               | 80 0 16 16
