# trap_animation - 178 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
   0  trap_animation_0                 | 0 368 16 16
   1  trap_animation_1                 | 16 368 16 16
   2  trap_animation_2                 | 32 368 16 16
   3  trap_animation_3                 | 48 368 16 16
   4  trap_animation_4                 | 64 368 16 16
   5  trap_animation_5                 | 80 368 16 16
   6  trap_animation_6                 | 112 368 16 16
   7  trap_animation_7                 | 0 352 16 16
   8  trap_animation_8                 | 32 352 16 16
   9  trap_animation_9                 | 48 352 16 16
  10  trap_animation_10                | 64 352 16 16
  11  trap_animation_11                | 80 352 16 16
  12  trap_animation_12                | 96 352 16 16
  13  trap_animation_13                | 112 352 16 16
  14  trap_animation_14                | 128 352 16 16
  15  trap_animation_15                | 0 336 16 16
  16  trap_animation_16                | 32 336 16 16
  17  trap_animation_17                | 48 336 16 16
  18  trap_animation_18                | 64 336 16 16
  19  trap_animation_19                | 80 336 16 16
  20  trap_animation_20                | 112 336 16 16
  21  trap_animation_21                | 0 320 16 16
  22  trap_animation_22                | 16 320 16 16
  23  trap_animation_23                | 32 320 16 16
  24  trap_animation_24                | 48 320 16 16
  25  trap_animation_25                | 64 320 16 16
  26  trap_animation_26                | 80 320 16 16
  27  trap_animation_27                | 96 320 16 16
  28  trap_animation_28                | 112 320 16 16
  29  trap_animation_29                | 0 288 16 16
  30  trap_animation_30                | 16 288 16 16
  31  trap_animation_31                | 32 288 16 16
  32  trap_animation_32                | 48 288 16 16
  33  trap_animation_33                | 64 288 16 16
  34  trap_animation_34                | 80 288 16 16
  35  trap_animation_35                | 112 288 16 16
  36  trap_animation_36                | 0 272 16 16
  37  trap_animation_37                | 32 272 16 16
  38  trap_animation_38                | 48 272 16 16
  39  trap_animation_39                | 64 272 16 16
  40  trap_animation_40                | 80 272 16 16
  41  trap_animation_41                | 96 272 16 16
  42  trap_animation_42                | 112 272 16 16
  43  trap_animation_43                | 128 272 16 16
  44  trap_animation_44                | 0 256 16 16
  45  trap_animation_45                | 32 256 16 16
  46  trap_animation_46                | 48 256 16 16
  47  trap_animation_47                | 64 256 16 16
  48  trap_animation_48                | 80 256 16 16
  49  trap_animation_49                | 112 256 16 16
  50  trap_animation_50                | 0 240 16 16
  51  trap_animation_51                | 16 240 16 16
  52  trap_animation_52                | 32 240 16 16
  53  trap_animation_53                | 48 240 16 16
  54  trap_animation_54                | 64 240 16 16
  55  trap_animation_55                | 80 240 16 16
  56  trap_animation_56                | 96 240 16 16
  57  trap_animation_57                | 112 240 16 16
  58  trap_animation_58                | 0 224 16 16
  59  trap_animation_59                | 16 224 16 16
  60  trap_animation_60                | 32 224 16 16
  61  trap_animation_61                | 48 224 16 16
  62  trap_animation_62                | 64 224 16 16
  63  trap_animation_63                | 80 224 16 16
  64  trap_animation_64                | 112 224 16 16
  65  trap_animation_65                | 0 208 16 16
  66  trap_animation_66                | 16 208 16 16
  67  trap_animation_67                | 32 208 16 16
  68  trap_animation_68                | 48 208 16 16
  69  trap_animation_69                | 64 208 16 16
  70  trap_animation_70                | 80 208 16 16
  71  trap_animation_71                | 96 208 16 16
  72  trap_animation_72                | 112 208 16 16
  73  trap_animation_73                | 128 208 16 16
  74  trap_animation_74                | 0 192 16 16
  75  trap_animation_75                | 32 192 16 16
  76  trap_animation_76                | 48 192 16 16
  77  trap_animation_77                | 64 192 16 16
  78  trap_animation_78                | 80 192 16 16
  79  trap_animation_79                | 96 192 16 16
  80  trap_animation_80                | 112 192 16 16
  81  trap_animation_81                | 128 192 16 16
  82  trap_animation_82                | 0 176 16 16
  83  trap_animation_83                | 16 176 16 16
  84  trap_animation_84                | 32 176 16 16
  85  trap_animation_85                | 48 176 16 16
  86  trap_animation_86                | 64 176 16 16
  87  trap_animation_87                | 80 176 16 16
  88  trap_animation_88                | 96 176 16 16
  89  trap_animation_89                | 112 176 16 16
  90  trap_animation_90                | 0 160 16 16
  91  trap_animation_91                | 16 160 16 16
  92  trap_animation_92                | 32 160 16 16
  93  trap_animation_93                | 48 160 16 16
  94  trap_animation_94                | 64 160 16 16
  95  trap_animation_95                | 80 160 16 16
  96  trap_animation_96                | 96 160 16 16
  97  trap_animation_97                | 112 160 16 16
  98  trap_animation_98                | 0 144 16 16
  99  trap_animation_99                | 16 144 16 16
 100  trap_animation_100               | 32 144 16 16
 101  trap_animation_101               | 48 144 16 16
 102  trap_animation_102               | 64 144 16 16
 103  trap_animation_103               | 80 144 16 16
 104  trap_animation_104               | 112 144 16 16
 105  trap_animation_105               | 0 128 16 16
 106  trap_animation_106               | 16 128 16 16
 107  trap_animation_107               | 32 128 16 16
 108  trap_animation_108               | 48 128 16 16
 109  trap_animation_109               | 64 128 16 16
 110  trap_animation_110               | 80 128 16 16
 111  trap_animation_111               | 96 128 16 16
 112  trap_animation_112               | 112 128 16 16
 113  trap_animation_113               | 128 128 16 16
 114  trap_animation_114               | 0 112 16 16
 115  trap_animation_115               | 32 112 16 16
 116  trap_animation_116               | 48 112 16 16
 117  trap_animation_117               | 64 112 16 16
 118  trap_animation_118               | 80 112 16 16
 119  trap_animation_119               | 96 112 16 16
 120  trap_animation_120               | 112 112 16 16
 121  trap_animation_121               | 128 112 16 16
 122  trap_animation_122               | 0 96 16 16
 123  trap_animation_123               | 16 96 16 16
 124  trap_animation_124               | 32 96 16 16
 125  trap_animation_125               | 48 96 16 16
 126  trap_animation_126               | 64 96 16 16
 127  trap_animation_127               | 80 96 16 16
 128  trap_animation_128               | 96 96 16 16
 129  trap_animation_129               | 112 96 16 16
 130  trap_animation_130               | 0 80 16 16
 131  trap_animation_131               | 16 80 16 16
 132  trap_animation_132               | 32 80 16 16
 133  trap_animation_133               | 48 80 16 16
 134  trap_animation_134               | 64 80 16 16
 135  trap_animation_135               | 80 80 16 16
 136  trap_animation_136               | 96 80 16 16
 137  trap_animation_137               | 112 80 16 16
 138  trap_animation_138               | 0 64 16 16
 139  trap_animation_139               | 16 64 16 16
 140  trap_animation_140               | 32 64 16 16
 141  trap_animation_141               | 48 64 16 16
 142  trap_animation_142               | 64 64 16 16
 143  trap_animation_143               | 80 64 16 16
 144  trap_animation_144               | 112 64 16 16
 145  trap_animation_145               | 0 48 16 16
 146  trap_animation_146               | 16 48 16 16
 147  trap_animation_147               | 32 48 16 16
 148  trap_animation_148               | 48 48 16 16
 149  trap_animation_149               | 64 48 16 16
 150  trap_animation_150               | 80 48 16 16
 151  trap_animation_151               | 96 48 16 16
 152  trap_animation_152               | 112 48 16 16
 153  trap_animation_153               | 128 48 16 16
 154  trap_animation_154               | 0 32 16 16
 155  trap_animation_155               | 32 32 16 16
 156  trap_animation_156               | 48 32 16 16
 157  trap_animation_157               | 64 32 16 16
 158  trap_animation_158               | 80 32 16 16
 159  trap_animation_159               | 96 32 16 16
 160  trap_animation_160               | 112 32 16 16
 161  trap_animation_161               | 128 32 16 16
 162  trap_animation_162               | 0 16 16 16
 163  trap_animation_163               | 16 16 16 16
 164  trap_animation_164               | 32 16 16 16
 165  trap_animation_165               | 48 16 16 16
 166  trap_animation_166               | 64 16 16 16
 167  trap_animation_167               | 80 16 16 16
 168  trap_animation_168               | 96 16 16 16
 169  trap_animation_169               | 112 16 16 16
 170  trap_animation_170               | 0 0 16 16
 171  trap_animation_171               | 16 0 16 16
 172  trap_animation_172               | 32 0 16 16
 173  trap_animation_173               | 48 0 16 16
 174  trap_animation_174               | 64 0 16 16
 175  trap_animation_175               | 80 0 16 16
 176  trap_animation_176               | 96 0 16 16
 177  trap_animation_177               | 112 0 16 16
