# walls_floor - 280 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
   0  walls_floor_0                    | 0 352 16 16
   1  walls_floor_1                    | 16 352 16 16
   2  walls_floor_2                    | 32 352 16 16
   3  walls_floor_3                    | 48 352 16 16
   4  walls_floor_4                    | 64 352 16 16
   5  walls_floor_5                    | 80 352 16 16
   6  walls_floor_6                    | 96 352 16 16
   7  walls_floor_7                    | 112 352 16 16
   8  walls_floor_8                    | 128 352 16 16
   9  walls_floor_9                    | 144 352 16 16
  10  walls_floor_10                   | 160 352 16 16
  11  walls_floor_11                   | 176 352 16 16
  12  walls_floor_12                   | 192 352 16 16
  13  walls_floor_13                   | 0 336 16 16
  14  walls_floor_14                   | 16 336 16 16
  15  walls_floor_15                   | 32 336 16 16
  16  walls_floor_16                   | 48 336 16 16
  17  walls_floor_17                   | 64 336 16 16
  18  walls_floor_18                   | 80 336 16 16
  19  walls_floor_19                   | 96 336 16 16
  20  walls_floor_20                   | 112 336 16 16
  21  walls_floor_21                   | 128 336 16 16
  22  walls_floor_22                   | 144 336 16 16
  23  walls_floor_23                   | 160 336 16 16
  24  walls_floor_24                   | 176 336 16 16
  25  walls_floor_25                   | 192 336 16 16
  26  walls_floor_26                   | 0 320 16 16
  27  walls_floor_27                   | 16 320 16 16
  28  walls_floor_28                   | 32 320 16 16
  29  walls_floor_29                   | 48 320 16 16
  30  walls_floor_30                   | 64 320 16 16
  31  walls_floor_31                   | 80 320 16 16
  32  walls_floor_32                   | 96 320 16 16
  33  walls_floor_33                   | 112 320 16 16
  34  walls_floor_34                   | 128 320 16 16
  35  walls_floor_35                   | 144 320 16 16
  36  walls_floor_36                   | 160 320 16 16
  37  walls_floor_37                   | 176 320 16 16
  38  walls_floor_38                   | 192 320 16 16
  39  walls_floor_39                   | 0 304 16 16
  40  walls_floor_40                   | 16 304 16 16
  41  walls_floor_41                   | 32 304 16 16
  42  walls_floor_42                   | 48 304 16 16
  43  walls_floor_43                   | 64 304 16 16
  44  walls_floor_44                   | 80 304 16 16
  45  walls_floor_45                   | 96 304 16 16
  46  walls_floor_46                   | 112 304 16 16
  47  walls_floor_47                   | 128 304 16 16
  48  walls_floor_48                   | 144 304 16 16
  49  walls_floor_49                   | 192 304 16 16
  50  walls_floor_50                   | 0 288 16 16
  51  walls_floor_51                   | 16 288 16 16
  52  walls_floor_52                   | 32 288 16 16
  53  walls_floor_53                   | 48 288 16 16
  54  walls_floor_54                   | 64 288 16 16
